Utenti Registrati
Codice IQ	Ruolo	Assegnato a	Posizione	Tipo	Stato
TIQ-IT-ADMIN	admin	-	-	-	Attivo
TIQ-VV-STT-5519	structure	Hotel Piccolo Pizzo	VV	professional	Attivo
TIQ-VV-PRT-0195	partner	Ristorante La Terrazza	VV	professional	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-1367	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-6307	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-8448	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-6189	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-5536	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-2883	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-9017	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-9429	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-3502	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-5965	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-4650	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-2677	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-5014	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-1291	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-6539	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-1060	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
TIQ-PKG-STRUCTURE-TIQ-VV-STT-5519-3667	tourist	Pacchetto per TIQ-VV-STT-5519	IT	package	Attivo
